URL;Error;Colección;Código EAN;Alto con embalaje;Ancho con embalaje;Ancho de producto;Espesor de producto;Fondo con embalaje;Longitud del producto;Peso del producto;Acabado;Antiestático;Apto para sistemas de calefacción por suelo radiante;Borde biselado;Certificado de aprobación de la madera;Resistencia a desgaste;Cobertura por paquete (m2);Consejos de uso;Efecto;Material;Nivel de tránsito;Resistente al agua;Unidades del pack;Nota adicional;Declaración de prestaciones (DoP);Vendido por;Marca;Garantía;Normas;Clases de utilización;Restricciones de uso;Sistema de encaje;Manual Instrucciones;Modelo;Interior/Exterior/Ambos;Resistente a las manchas;Resistente a los rayos ultravioleta;Tipo de fijación;Forma producto;Modo instalación;Aislante incorporado;Material Suelo;Capa de uso;Clasificación Euroclass de reacción al fuego;Clasificación PEI;Resistencia al resbalamiento
https://www.bricodepot.es/suelo-laminado-gris-doncaster-ac4-8-mm-5059340194073?queryID=e4c42ece99b2b8603570cec178743cb3&objectID=134442&indexName=pro_ES_products;;Doncaster;5059340194073;6.2;20.5 cm;19.2 cm;8 mm;129.5;1.285 cm;13.75;Rugoso;No;Sí;Sí;Sí;AC4;1.973;Evitar productos químicos agresivos.;Madera;HDF (Tableros de fibra de alta densidad);Tránsito medio;Sí;8;Suelo laminado perfecto para espacios como el baño o la cocina.;DOP_5059340194073;Brico Depôt;Cooke & Lewis;3 años;;;;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac4-roble-gris-8-mm-dunwich-cooke-lewis-5059340485362?queryID=393c09fd5663cb32aa61e51018ee0b42&objectID=248319&indexName=pro_ES_products;;Dunwich;5059340485362;4.7;29.5 cm;28 cm;8 mm;129.6;128.5 cm;18;Mate;Sí;Sí;Sí;Sí;AC4;2.16;;Madera;Tablero de fibras de alta densidad (HDF);Moderado;No;6;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;DOP_ES_PT_5059340485362;Brico Depôt;Cooke & Lewis;15 años;"EN 13329; PEFC/04-31-0820";Clase 32;Zonas húmedas;Megaloc;IM_5059340485362;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-gris-malton-ac6-10-mm-5059340194097?queryID=f42b0e8a7310cd7b431f2e019f4aa103&objectID=134444&indexName=pro_ES_products;;Malton;5059340194097;8.2;20.1 cm;19.3 cm;10 mm;139.1;1.383 cm;19.06;Rugoso;No;Sí;Sí;Sí;AC6;2.14;"Se puede usar directamente sobre hormigón.
No utilizar productos químicos agresivos.";Madera;HDF (Tableros de fibra de alta densidad);Tránsito alto;No;8;;DOP_ES_PT_5059340194097;Brico Depôt;Cooke & Lewis;3 años;;;Zonas húmedas;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-macquarie-ac4-7-mm-3663602997962?queryID=3064bf0892a38fda11daedbadff9d95e&objectID=134437&indexName=pro_ES_products;;Macquarie;3663602997962;7.2;20.1 cm;19.3 cm;7 mm;139.1;138.3 cm;15.91;Rugoso;No;Sí;No;Sí;AC4;2.67;Instala una base debajo antes de instalar suelos laminados;Madera;HDF;Tránsito medio;No;10;;DOP_3663602997962;Brico Depôt;Colours;3 años;;Clase 32;Zonas húmedas;Encaje por 2 lados;;K4376;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac5-pino-gris-8-mm-crvena-cooke-lewis-5059340484303?queryID=8476c2cfafeb8c4049bade7e723bff44&objectID=244486&indexName=pro_ES_products;;Crvena;5059340484303;4.7;29.5 cm;28 cm;8 mm;129.6;128.5 cm;15.2;;Sí;Sí;Sí;Sí;AC5;2.158;;Madera;Tablero de fibras de alta densidad (HDF);Alto;No;6;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;;Brico Depôt;Cooke & Lewis;30 años;"EN 13329; FSC C100583";Clase 33;;Megaloc;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac5-roble-natural-8-mm-orbetello-cooke-lewis-5063022047816?queryID=f84e769c4dc28117a87e4b6c2743e56e&objectID=244508&indexName=pro_ES_products;;Orbetello;5063022047816;7.4;20.1 cm;19.3 cm;8 mm;139.1;138.3 cm;15.85;Mate;No;Sí;No;Sí;AC5;2.402;;Madera;Tablero de fibras de alta densidad (HDF);Moderado;No;9;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;DOP_ES_PT_5063022047816;Brico Depôt;Cooke & Lewis;20 años;"EN 13329; SGSCH-PEFC-COC-110005.";Clase 32;Zonas húmedas;Kaindl_loc;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac5-roble-oscuro-8-mm-herradura-cooke-lewis-5059340194035?queryID=79a7392dd386458df1aa360a8e6bc739&objectID=244505&indexName=pro_ES_products;;Herradura;5059340194035;6.6;25.2 cm;24.4 cm;8 mm;139.1;138.3 cm;17.8;Mate;No;Sí;Sí;Sí;AC5;2.7;;Madera;Tablero de fibras de alta densidad (HDF);Moderado;No;8;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;DOP_ES_PT_5059340194035;Brico Depôt;Cooke & Lewis;20 años;"EN 13329; SGSCH-PEFC-COC-110005.";Clase 32;Zonas húmedas;plegado;IM_ES_PT_5059340194035;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac4-coolangatta-roble-1286x194-cm-cooke-lewis-5063022047755?queryID=8e3655b2c3046354027dcf26eaea5c9f&objectID=260413&indexName=pro_ES_products;;Coolangatta;5063022047755;6.2;20.7 cm;19.4 cm;8 mm;129.6;128.6 cm;13.136;Mate;Sí;Sí;Sí;Sí;AC4;1.996;;Madera;HDF;Tráfico moderado-intenso;No;8;;;Brico Depôt;Cooke & Lewis;15 años;;Clase 32;;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac4-jaco-natural-1286x194-cm-cooke-lewis-5063022069450?queryID=83a406f210474b11f9da60b6d82f77dc&objectID=260417&indexName=pro_ES_products;;Jaco;5063022069450;6.2;20.7 cm;19.4 cm;8 mm;129.6;128.6 cm;13.136;Mate;Sí;Sí;Sí;Sí;AC4;1.996;;Madera;HDF;Tráfico moderado-intenso;No;8;;;Brico Depôt;Cooke & Lewis;15 años;;Clase 32;;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-elicia-ac5-8mm-roble-gris-1383x193-cm-cooke-lewis-5063022085658?queryID=dc5b6da1e3689e2662b68e95be9d427a&objectID=253426&indexName=pro_ES_products;;Elicia;5063022085658;7.4;20.1 cm;19.3 cm;8 mm;139.1;138.3 cm;16.56;Mate;No;Sí;No;Sí;AC5;2.4;;Madera;HDF;Moderado;No;9;;DOP_ES_PT_5063022085658;Brico Depôt;Cooke & Lewis;20 años;;Clase 32;Zonas húmedas;;;;;;;;;;;;;;;
